"","act","position","t_iqr","t_mad","t_max","t_mcr","t_mean","t_min","t_rms","t_sttdev","t_variance"
"8234","Walking","Hand Swing",2.84400250590682,1.55623336809512,15.7403696427739,0.046875,11.4125202786892,8.67036921119176,11.5663904394792,1.88036397726174,3.53576868698357
"8235","Walking","Hand Swing",2.63826673272606,1.65083120592976,16.9760464641925,0.0625,12.2239558657644,8.72493824390542,12.3884311138336,2.01199613668759,4.04812845404581
"8236","Walking","Hand Swing",3.24823934780199,1.953226289036,17.6945128863316,0.0625,12.6870648545051,8.68611514476243,12.904702143017,2.36002601205343,5.56972277756881
"8237","Walking","Hand Swing",3.18411583393634,1.787977468793,17.3000713008399,0.109375,12.0059533968731,7.95072790950091,12.2010999570416,2.17345880886502,4.72392319383295
"8238","Walking","Hand Swing",2.00540484007016,1.15151663674956,15.5165720619475,0.0703125,11.8911089713407,9.35600360637732,11.9724527568532,1.39325247058229,1.94115244678367
"8239","Walking","Hand Swing",2.58627377595706,1.34686097058215,15.6410502824584,0.046875,11.8529943537673,9.4374814807868,11.9568794740948,1.57273380061243,2.47349160758883
"8240","Walking","Hand Swing",2.21445194499181,1.38411840556564,16.0638198541046,0.09375,11.5080399230353,8.94571635302685,11.6448544413433,1.77978990049303,3.167652089897
"8241","Walking","Hand Swing",2.51264707324364,1.49633184188449,15.6995187948534,0.078125,11.0946208586352,7.64476831450749,11.2452268668514,1.83426151082489,3.3645152900936
"8242","Walking","Hand Swing",2.45111020019651,1.49585467667155,15.3010080554463,0.0625,10.9379229311025,7.52812547779662,11.0899629970299,1.83006044401643,3.34912122875361
"8243","Walking","Hand Swing",2.48847982512923,1.50867016191979,14.8322830316653,0.08203125,10.569800652953,6.88985567836852,10.7346782740667,1.87420164458217,3.51263180455452
"8244","Walking","Hand Swing",2.89751245176911,1.67413818429187,15.6471646181777,0.0703125,10.6390242620046,6.42847150695409,10.8357502700857,2.0553945285857,4.22464666814003
"8245","Walking","Hand Swing",2.50632391968587,1.44570697722849,16.2768574250147,0.0625,11.7219531187713,8.65101155264789,11.8509965055031,1.7441138881316,3.04193325477351
"8246","Walking","Hand Swing",2.56978065200732,1.45236463407114,16.34481413428,0.0703125,11.6710483686327,8.54793033312523,11.8019873982232,1.75315045699313,3.07353652485521
"8247","Walking","Hand Swing",2.63134199521431,1.56882234692783,16.1484460918805,0.0625,11.4631769866297,8.07872892533227,11.6186328806458,1.8942553651576,3.58820338842836
"8248","Walking","Hand Swing",2.79104844033977,1.70744908361323,16.7233528540144,0.0625,11.5854991504525,8.60238740675458,11.7680085317778,2.0645179192388,4.26223423885811
"8249","Walking","Hand Swing",2.27645940830394,1.30227752982591,15.1500257039113,0.078125,11.4289536949471,9.03807561920038,11.538782562776,1.58824446159265,2.52252046977974
"8250","Walking","Hand Swing",2.56665211059811,1.43686564819716,16.0091648278946,0.0859375,11.446994554346,7.85470558491584,11.5812142337767,1.75807815565878,3.09083880140458
